"Commentaire","Séance","Module","Aspect","Polarité","Sentiment","Attitude","Valeur","Attente"
"J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu","1/4/2021","PDC","G","N","A","NE","C","x"
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois","1/4/2021","PDC","G","N","A","NE","U","NE"
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »","1/4/2021","PDC","G","N","A","NE","A","x"
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur","1/7/2021","PDC","G","N","A","NE","C","NE"
"Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse ","1/7/2021","PDC","G","N","A","NE","C","NE"
"J'aime bien le contenu du cours mais des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours. ","1/11/2021","PDC","C","N","A","NE","U","NE"
"J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu. ","1/11/2021","PDC","G","N","A","NE","A","x"
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ","1/4/2021","TPGO","CO","N","A","NE","NE","x"
"Je n'arrive pas à comprendre avec le rythme rapide et les explications insuffisantes, encore moins suivre avec la mauvaise connexion de l'enseignant (mauvaise qualité de l'audio et de la vidéo, déconnexions...)","1/4/2021","TPGO","G","N","A","H","I","x"
"je trouve ce module difficile surtout à distance ça me stresse un peu et j'aurais aimé avoir des corrigés type des exercices pour comparer","1/20/2021","PDC","G","N","A","NE","I","x"
"je n'ai pas pu poser mes question par microphone à cause de la connexion et ça m'a rendu angoissée","2/1/2021","ELECT","CO","N","A","NE","U","NE"
"La prof ne nous entendait pas, elle a fini la dernière partie du chapitre et a fait quatre exercices en une heure, personne ne pourrait suivre on était tous perdus et stressés à cause d'elle et elle s'en foutait","2/2/2021","ELECT","Pr","N","A","H","A","x"
"la plupart de temps je n'arrive pas a comprendre c'est stressant quand même","2/10/2021","ARCH1","G","N","A","NE","A","NE"
"il y avait des coupures je n'ai pas pu suivre ","2/13/2021","ARCH1","Pr","N","A","NE","U","x"
"la façon avec laquelle le prof expliquait m'a perturbé avec mes respects","2/13/2021","ARCH1","Pr","N","A","NE","C","x"
"la méthode qu'utilise le prof pour expliquer (écrire à main levée) m'a un peu perturbé et stressé","2/13/2021","ARCH1","Pr","N","A","NE","A","NE"
"Un peu de communication entre prof et étudiants, c'est frustrant","2/11/2021","ALSDS","CO","N","A","NE","I","x"
"c'est fatiguant et stressant  de travailler chaque jour sur ce module á distance","1/27/2021","ARCH1","G","N","A","NE","U","x"
"On peut pas parler juste deux fois en séance pour poser nos questions, j'aime pas vraiment la méthode de communication adapté par ce prof et ça me stresse ","1/27/2021","ARCH1","CO","N","A","NE","U","x"
